"Index","RealEstate.Close"
2004-05-03,182.47
2004-05-04,182.81
2004-05-05,182.8
2004-05-06,182.45
2004-05-07,182.85
2004-05-10,182.04
2004-05-11,180.51
2004-05-12,179.96
2004-05-13,179.9
2004-05-14,179.17
2004-05-17,179.37
2004-05-18,179.31
2004-05-19,179.6
2004-05-20,180.26
2004-05-21,180.56
2004-05-24,180.74
2004-05-25,180.43
2004-05-26,179.87
2004-05-27,180.56
2004-05-28,181.01
2004-05-31,181.75
2004-06-01,181.5
2004-06-02,181.31
2004-06-03,181
2004-06-04,179.02
2004-06-07,178.91
2004-06-08,179.94
2004-06-09,179.51
2004-06-10,179.35
2004-06-11,180.43
2004-06-14,181.3
2004-06-15,181.45
2004-06-17,181.15
2004-06-18,180.94
2004-06-21,181.8
2004-06-22,181.8
2004-06-23,180.91
2004-06-24,182.13
2004-06-25,182.17
2004-06-28,183.24
2004-06-29,183.82
2004-06-30,183.72
2004-07-01,182.36
2004-07-02,181.7
2004-07-05,180.83
2004-07-06,180.72
2004-07-07,180.66
2004-07-08,181.01
2004-07-09,181.7
2004-07-12,182.62
2004-07-13,183.43
2004-07-14,183.69
2004-07-15,183.8
2004-07-16,184.29
2004-07-19,184.58
2004-07-20,186.14
2004-07-21,186.67
2004-07-22,187.79
2004-07-23,187.4
2004-07-26,187.64
2004-07-27,187.11
2004-07-28,187.06
2004-07-29,186.69
2004-07-30,188.55
2004-08-02,188.76
2004-08-03,189.2
2004-08-04,189.25
2004-08-05,189.88
2004-08-06,189.06
2004-08-10,188.38
2004-08-11,188.43
2004-08-12,189.26
2004-08-13,190.58
2004-08-16,191.29
2004-08-17,191.8
2004-08-18,191.93
2004-08-19,192.12
2004-08-20,192.49
2004-08-23,193.44
2004-08-24,193.6
2004-08-25,194.86
2004-08-26,196.13
2004-08-27,196.65
2004-08-30,196.91
2004-08-31,198.4
2004-09-01,201.87
2004-09-02,203.08
2004-09-03,204.21
2004-09-06,204.17
2004-09-07,204.57
2004-09-08,204.79
2004-09-09,204.82
2004-09-10,202.92
2004-09-13,201.8
2004-09-14,200.12
2004-09-15,198.92
2004-09-16,199.72
2004-09-17,199.29
2004-09-20,200.74
2004-09-21,202.45
2004-09-22,203.76
2004-09-23,203.75
2004-09-27,203.66
2004-09-28,203.76
2004-09-29,204.27
2004-09-30,205.17
2004-10-01,206.08
2004-10-04,207.08
2004-10-05,206.14
2004-10-06,207.44
2004-10-07,207.92
2004-10-08,207.79
2004-10-11,207.31
2004-10-12,207.55
2004-10-13,207.94
2004-10-14,207.33
2004-10-15,208.18
2004-10-18,208.56
2004-10-19,210.71
2004-10-20,212.14
2004-10-21,212.89
2004-10-22,212.37
2004-10-25,211.63
2004-10-26,210.46
2004-10-27,210.46
2004-10-28,210.41
2004-10-29,210.78
2004-11-01,211.22
2004-11-02,211.92
2004-11-03,214.3
2004-11-04,215.27
2004-11-05,214.48
2004-11-08,213.59
2004-11-09,214.79
2004-11-10,214.96
2004-11-11,215.06
2004-11-12,216.42
2004-11-15,217.99
2004-11-16,219.56
2004-11-17,221.06
2004-11-18,224.37
2004-11-19,227.57
2004-11-22,229.18
2004-11-23,230.24
2004-11-24,232.06
2004-11-25,232.02
2004-11-26,234.67
2004-11-29,237.39
2004-11-30,239.06
2004-12-01,236.72
2004-12-02,237.75
2004-12-03,236.84
2004-12-06,236.69
2004-12-07,237.27
2004-12-08,235.82
2004-12-09,237.97
2004-12-10,240.33
2004-12-13,242.82
2004-12-14,244.93
2004-12-15,243.99
2004-12-17,244.65
2004-12-20,245.46
2004-12-21,245.81
2004-12-22,246.5
2004-12-23,247.94
2004-12-24,247.95
2004-12-28,249.39
2004-12-29,250.35
2004-12-30,251.01
2004-12-31,252.73
2005-01-03,252.74
2005-01-04,253.68
2005-01-05,256.13
2005-01-06,253.59
2005-01-07,251.68
2005-01-10,250.4
2005-01-11,248.82
2005-01-12,249.67
2005-01-13,249.11
2005-01-14,249.21
2005-01-17,248.7
2005-01-18,248.55
2005-01-19,245.34
2005-01-20,243.27
2005-01-21,246.31
2005-01-24,247.64
2005-01-25,248.92
2005-01-26,248.82
2005-01-27,249.29
2005-01-28,250.48
2005-01-31,250.87
2005-02-01,251.27
2005-02-02,252.69
2005-02-03,252.83
2005-02-04,252.8
2005-02-07,253.09
2005-02-08,256.15
2005-02-09,258.04
2005-02-10,257.5
2005-02-11,260.44
2005-02-14,261.83
2005-02-15,261.45
2005-02-16,261.07
2005-02-17,260.87
2005-02-18,261.65
2005-02-21,262.5
2005-02-22,263.18
2005-02-23,265.78
2005-02-24,266.88
2005-02-25,267.12
2005-02-28,267.41
2005-03-01,269.45
2005-03-02,269.63
2005-03-03,270.28
2005-03-04,272.41
2005-03-07,273.57
2005-03-08,273.78
2005-03-09,275.15
2005-03-10,276.94
2005-03-11,279.24
2005-03-14,281.42
2005-03-15,281.13
2005-03-16,280.74
2005-03-17,279.3
2005-03-18,279.08
2005-03-22,279.19
2005-03-23,274.97
2005-03-24,269.63
2005-03-29,263.77
2005-03-30,262.54
2005-03-31,266.24
2005-04-01,265.66
2005-04-04,264.87
2005-04-05,265.65
2005-04-06,267.21
2005-04-07,269.43
2005-04-08,269.37
2005-04-11,271.56
2005-04-12,274.77
2005-04-13,273.98
2005-04-14,278.61
2005-04-15,280.99
2005-04-18,278.79
2005-04-19,278.05
2005-04-20,277.9
2005-04-21,277.52
2005-04-22,277.98
2005-04-25,278.34
2005-04-26,274.14
2005-04-28,272.57
2005-04-29,273.94
2005-05-03,272.71
2005-05-04,273.03
2005-05-05,273.21
2005-05-06,275.22
2005-05-09,278.12
2005-05-10,278.11
