Date,JALSH,MSCIWORLD,SA10YR,GSCI,JASPY,TBILLS,SACPI,USDZAR
30316,12.1256669,3.399871387,2.61899967,8.172507013,#N/A,2.277286879,3.75,1.50899129
30347,13.3352774,3.451423024,2.759879854,8.181253914,#N/A,2.304557389,3.75,1.500140489
30375,11.47927753,3.598110858,2.651180255,8.259670184,#N/A,2.329254563,3.875,1.53203147
30406,11.74276654,3.743174676,2.548400296,8.861516507,#N/A,2.349402615,3.875,1.539898848
30436,12.90408278,3.99069399,2.61237566,8.905895086,#N/A,2.369157175,3.9375,1.532593425
30467,13.40764883,3.890086197,2.599872759,8.814904275,#N/A,2.391269309,3.9375,1.50899129
30497,13.54076813,4.086268553,2.502354341,9.09405218,#N/A,2.413826949,3.9375,1.53708907
30528,13.61247619,4.03033077,2.506491457,9.455607075,#N/A,2.439272708,4,1.543832537
30559,14.02922994,4.15159564,2.51924395,9.859564414,#N/A,2.467364999,4.0625,1.582045518
30589,13.16688049,4.150726809,2.583199566,9.400887723,#N/A,2.499050078,4.0625,1.550576004
30620,11.76791158,4.363957317,2.590326744,9.880993995,#N/A,2.530204902,4.125,1.649901658
30650,13.09151833,4.542667847,2.571630716,10.03695503,#N/A,2.562169824,4.1875,1.674487216
30681,13.85916577,4.718135333,2.599397404,10.81364342,#N/A,2.595776951,4.1875,1.717476819
30712,13.73364393,4.94716057,2.561759361,11.36507821,#N/A,2.634172819,4.1875,1.786316381
30741,15.22117799,4.582002357,2.636984135,10.75572726,#N/A,2.673136625,4.1875,1.682495083
30772,15.56959116,4.957058643,2.670062329,11.66065524,#N/A,2.712676771,4.25,1.738690643
30802,15.76652963,5.011661789,2.606187913,11.70096818,#N/A,2.752801782,4.375,1.764540601
30833,15.5914376,4.731554603,2.584105751,12.29095652,#N/A,2.793520308,4.4375,1.801208205
30863,15.41639234,5.05672637,2.634669561,12.73095568,#N/A,2.834841129,4.4375,1.908822703
30894,13.92635445,5.90482666,2.573112199,14.37571123,#N/A,2.876773154,4.4375,2.310620961
30925,14.85503986,6.210321609,2.534125379,14.33278365,#N/A,2.921722735,4.5,2.208906996
30955,14.68569686,6.573214403,2.494832405,15.11114351,#N/A,2.974678959,4.5625,2.347288564
30986,15.17174583,7.572452288,2.544902878,17.30626476,#N/A,3.028595016,4.625,2.676032593
31016,15.95509536,7.360075643,2.61197162,16.95153894,#N/A,3.0834883,4.6875,2.61126721
31047,15.15892298,8.042607074,2.640818641,17.78749506,#N/A,3.136806952,4.6875,2.795729137
31078,14.70627992,8.44273347,2.598706645,17.92323638,#N/A,3.191047572,4.75,2.781961225
31106,14.62176296,8.733893336,2.569775599,18.26675689,#N/A,3.248885309,4.9375,2.872998033
31137,16.16136909,8.351803666,2.621413968,17.61568672,#N/A,3.307771356,4.9375,2.655802192
31167,17.07517848,8.569486844,2.752377121,17.54272111,#N/A,3.367724712,5.0625,2.733211576
