"Index","SA10YR"
2012-11-30,13397.75121
2012-12-31,13706.34204
2013-01-31,13715.40803
2013-02-28,13806.19419
2013-03-31,13839.26765
2013-04-30,14400.22129
2013-05-31,13732.0869
2013-06-30,13523.22186
2013-07-31,13433.69924
2013-08-31,13258.82373
2013-09-30,13776.18485
2013-10-31,13829.63307
2013-11-30,13642.84859
2013-12-31,13793.52709
2014-01-31,13346.26149
2014-02-28,13672.16298
2014-03-31,13916.69176
2014-04-30,13961.57942
2014-05-31,14124.1669
2014-06-30,14258.57718
2014-07-31,14403.63288
2014-08-31,14812.92876
2014-09-30,14574.27549
2014-10-31,15071.38819
2014-11-30,15432.79548
2014-12-31,15193.3209
2015-01-31,16179.36481
2015-02-28,15731.5622
2015-03-31,15648.23099
2015-04-30,15571.56501
2015-05-31,15459.26688
2015-06-30,15428.94165
2015-07-31,15589.72856
2015-08-31,15611.24052
2015-09-30,15599.67903
2015-10-31,15805.32201
2015-11-30,15640.20744
2015-12-31,14596.26128
2016-01-31,15271.31361
2016-02-29,15154.08763
2016-03-31,15552.45379
2016-04-30,15844.08145
2016-05-31,15607.48146
2016-06-30,16237.45659
2016-07-31,16600.09583
2016-08-31,16306.88874
2016-09-30,16792.91377
2016-10-31,16900.53676
2016-11-30,16591.4721
2016-12-31,16851.57415
